IMAGE_NAME:imageCompressedCam0_0000774.jpg	X:0.706299	Y:-0.403058	Z:3.4608
IMAGE_NAME:imageCompressedCam0_0000775.jpg	X:1.3092	Y:-0.388465	Z:3.49324
IMAGE_NAME:imageCompressedCam0_0000776.jpg	X:1.7456	Y:-0.338826	Z:3.55999
IMAGE_NAME:imageCompressedCam0_0000790.jpg	X:-0.798041	Y:0.162299	Z:6.27999
IMAGE_NAME:imageCompressedCam0_0000791.jpg	X:-0.742729	Y:0.158094	Z:6.0752
IMAGE_NAME:imageCompressedCam0_0000792.jpg	X:-0.381402	Y:0.159749	Z:6.00988
IMAGE_NAME:imageCompressedCam0_0000793.jpg	X:-0.103823	Y:0.158094	Z:5.7325
IMAGE_NAME:imageCompressedCam0_0000794.jpg	X:0.13687	Y:0.172493	Z:5.58919
IMAGE_NAME:imageCompressedCam0_0000795.jpg	X:0.690945	Y:0.152181	Z:5.61727
IMAGE_NAME:imageCompressedCam0_0000795.jpg	X:-2.24231	Y:0.171416	Z:4.23423
IMAGE_NAME:imageCompressedCam0_0000796.jpg	X:1.07269	Y:0.0998909	Z:5.61727
IMAGE_NAME:imageCompressedCam0_0000796.jpg	X:-1.6356	Y:0.178997	Z:4.15553
IMAGE_NAME:imageCompressedCam0_0000797.jpg	X:1.62782	Y:0.094876	Z:5.64564
IMAGE_NAME:imageCompressedCam0_0000797.jpg	X:-1.06248	Y:0.214972	Z:4.03551
IMAGE_NAME:imageCompressedCam0_0000798.jpg	X:2.19486	Y:0.0824652	Z:5.6743
IMAGE_NAME:imageCompressedCam0_0000798.jpg	X:-2.55635	Y:0.749479	Z:4.79759
IMAGE_NAME:imageCompressedCam0_0000798.jpg	X:-0.458221	Y:0.247576	Z:4.00659
IMAGE_NAME:imageCompressedCam0_0000799.jpg	X:-2.05317	Y:0.728428	Z:4.83912
IMAGE_NAME:imageCompressedCam0_0000799.jpg	X:0.174585	Y:0.254268	Z:3.97807
IMAGE_NAME:imageCompressedCam0_0000800.jpg	X:-1.13591	Y:0.243448	Z:5.15133
IMAGE_NAME:imageCompressedCam0_0000800.jpg	X:3.43839	Y:0.137619	Z:5.76205
IMAGE_NAME:imageCompressedCam0_0000800.jpg	X:0.879641	Y:0.255163	Z:4.00659
IMAGE_NAME:imageCompressedCam0_0000801.jpg	X:3.9332	Y:0.184863	Z:5.88336
IMAGE_NAME:imageCompressedCam0_0000801.jpg	X:-0.60005	Y:0.290197	Z:5.0353
IMAGE_NAME:imageCompressedCam0_0000801.jpg	X:1.58356	Y:0.240091	Z:4.03551
IMAGE_NAME:imageCompressedCam0_0000802.jpg	X:-0.155322	Y:0.302015	Z:4.99035
IMAGE_NAME:imageCompressedCam0_0000802.jpg	X:2.23058	Y:0.263281	Z:4.12486
IMAGE_NAME:imageCompressedCam0_0000803.jpg	X:0.464401	Y:0.292704	Z:5.05809
IMAGE_NAME:imageCompressedCam0_0000803.jpg	X:-1.89092	Y:0.204615	Z:4.96817
IMAGE_NAME:imageCompressedCam0_0000804.jpg	X:1.00648	Y:0.319235	Z:5.19924
IMAGE_NAME:imageCompressedCam0_0000804.jpg	X:-1.09335	Y:0.349051	Z:5.01272
IMAGE_NAME:imageCompressedCam0_0000805.jpg	X:-0.335568	Y:0.405746	Z:5.05809
IMAGE_NAME:imageCompressedCam0_0000806.jpg	X:0.419213	Y:0.433783	Z:5.08108
IMAGE_NAME:imageCompressedCam0_0000807.jpg	X:1.25199	Y:0.505276	Z:5.08108
IMAGE_NAME:imageCompressedCam0_0000808.jpg	X:1.98789	Y:0.501844	Z:5.1277
IMAGE_NAME:imageCompressedCam0_0000811.jpg	X:-0.641295	Y:0.396261	Z:5.29781
IMAGE_NAME:imageCompressedCam0_0000812.jpg	X:0.0342064	Y:0.426682	Z:5.24806
IMAGE_NAME:imageCompressedCam0_0000813.jpg	X:0.587745	Y:0.433032	Z:5.27282
IMAGE_NAME:imageCompressedCam0_0000814.jpg	X:-0.81354	Y:0.353789	Z:5.4264
IMAGE_NAME:imageCompressedCam0_0000815.jpg	X:-0.206163	Y:0.459095	Z:5.27282
IMAGE_NAME:imageCompressedCam0_0000816.jpg	X:0.442079	Y:0.456415	Z:5.29781
IMAGE_NAME:imageCompressedCam0_0000824.jpg	X:-0.910163	Y:0.413185	Z:5.61727
IMAGE_NAME:imageCompressedCam0_0000825.jpg	X:-0.248021	Y:0.4701	Z:5.45287
IMAGE_NAME:imageCompressedCam0_0000826.jpg	X:0.139325	Y:0.440079	Z:5.45287
IMAGE_NAME:imageCompressedCam0_0000827.jpg	X:0.704126	Y:0.370927	Z:5.64564
IMAGE_NAME:imageCompressedCam0_0000839.jpg	X:-1.3306	Y:0.544859	Z:3.17567
IMAGE_NAME:imageCompressedCam0_0000840.jpg	X:-0.793094	Y:0.426708	Z:3.24011
IMAGE_NAME:imageCompressedCam0_0000841.jpg	X:-0.364861	Y:0.405116	Z:3.07098
IMAGE_NAME:imageCompressedCam0_0000842.jpg	X:-0.341554	Y:0.426272	Z:2.80864
IMAGE_NAME:imageCompressedCam0_0000874.jpg	X:-6.93035	Y:-0.0179906	Z:13.4679
IMAGE_NAME:imageCompressedCam0_0000896.jpg	X:0	Y:0.406828	Z:5.32304
IMAGE_NAME:imageCompressedCam0_0000897.jpg	X:0.0304318	Y:0.348312	Z:5.50659
IMAGE_NAME:imageCompressedCam0_0000898.jpg	X:0.219196	Y:0.403837	Z:5.27282
IMAGE_NAME:imageCompressedCam0_0000899.jpg	X:0.361409	Y:0.430615	Z:5.05809
IMAGE_NAME:imageCompressedCam0_0000900.jpg	X:0.663307	Y:0.364819	Z:4.99035
IMAGE_NAME:imageCompressedCam0_0000901.jpg	X:1.04088	Y:0.350115	Z:4.9028
IMAGE_NAME:imageCompressedCam0_0000902.jpg	X:1.35779	Y:0.342734	Z:4.79759
IMAGE_NAME:imageCompressedCam0_0000903.jpg	X:1.8151	Y:0.33834	Z:4.81826
IMAGE_NAME:imageCompressedCam0_0000904.jpg	X:2.8643	Y:0.119188	Z:5.0353
IMAGE_NAME:imageCompressedCam0_0000905.jpg	X:2.75993	Y:0.217944	Z:4.96817
IMAGE_NAME:imageCompressedCam0_0000906.jpg	X:2.86926	Y:0.247663	Z:5.1277
IMAGE_NAME:imageCompressedCam0_0000909.jpg	X:-0.647529	Y:0.221349	Z:4.52566
